xflr5 v6.30
NACA 0010
Alpha =   6.0,  Re =    50000,  Ma= 0.0000,  ACrit= 9.0


Bottom Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.00915   2.22951   0.05378   0.00407  0.00006  0.00000   0.00042   0.00019   0.07170
 0.01191   2.26140   0.17412   0.01054  0.00054  0.00000   0.00051   0.00023   0.07248
 0.01502   2.23887   0.27186   0.01535  0.00121  0.00000   0.00056   0.00025   0.07193
 0.01847   2.27382   0.35602   0.01747  0.00184  0.00000   0.00063   0.00028   0.07278
 0.02227   2.27306   0.42633   0.01906  0.00241  0.00000   0.00069   0.00030   0.07276
 0.02641   2.28664   0.48700   0.01960  0.00286  0.00000   0.00075   0.00033   0.07308
 0.03088   2.29500   0.53907   0.01975  0.00321  0.00000   0.00082   0.00036   0.07328
 0.03568   2.30367   0.58432   0.01958  0.00347  0.00000   0.00089   0.00039   0.07348
 0.04080   2.31181   0.62389   0.01923  0.00366  0.00000   0.00096   0.00042   0.07367
 0.04625   2.31949   0.65872   0.01876  0.00380  0.00000   0.00103   0.00045   0.07385
 0.05201   2.32676   0.68957   0.01822  0.00388  0.00000   0.00111   0.00048   0.07401
 0.05809   2.33366   0.71704   0.01764  0.00393  0.00000   0.00118   0.00051   0.07417
 0.06447   2.34023   0.74162   0.01706  0.00395  0.00000   0.00125   0.00054   0.07432
 0.07116   2.34650   0.76372   0.01647  0.00395  0.00000   0.00133   0.00057   0.07446
 0.07814   2.35252   0.78366   0.01590  0.00394  0.00000   0.00141   0.00060   0.07460
 0.08542   2.35830   0.80172   0.01534  0.00391  0.00000   0.00148   0.00063   0.07473
 0.09299   2.36389   0.81813   0.01480  0.00386  0.00000   0.00156   0.00066   0.07485
 0.10084   2.36930   0.83307   0.01428  0.00381  0.00000   0.00164   0.00069   0.07497
 0.10897   2.37457   0.84672   0.01378  0.00376  0.00000   0.00171   0.00072   0.07509
 0.11738   2.37971   0.85920   0.01330  0.00370  0.00000   0.00179   0.00075   0.07520
 0.12605   2.38475   0.87065   0.01284  0.00364  0.00000   0.00187   0.00079   0.07531
 0.13499   2.38970   0.88115   0.01241  0.00357  0.00000   0.00195   0.00082   0.07542
 0.14420   2.39459   0.89080   0.01199  0.00350  0.00000   0.00203   0.00085   0.07553
 0.15365   2.39941   0.89968   0.01159  0.00344  0.00000   0.00211   0.00088   0.07563
 0.16336   2.40420   0.90785   0.01120  0.00337  0.00000   0.00220   0.00091   0.07573
 0.17331   2.40895   0.91537   0.01084  0.00330  0.00000   0.00228   0.00095   0.07584
 0.18350   2.41368   0.92230   0.01049  0.00323  0.00000   0.00236   0.00098   0.07594
 0.19393   2.41839   0.92868   0.01015  0.00316  0.00000   0.00244   0.00101   0.07604
 0.20458   2.42310   0.93455   0.00983  0.00310  0.00000   0.00253   0.00104   0.07614
 0.21546   2.42780   0.93996   0.00952  0.00303  0.00000   0.00261   0.00108   0.07624
 0.22656   2.43251   0.94494   0.00922  0.00296  0.00000   0.00270   0.00111   0.07634
 0.23787   2.43722   0.94951   0.00894  0.00290  0.00000   0.00278   0.00114   0.07644
 0.24938   2.44194   0.95372   0.00866  0.00284  0.00000   0.00287   0.00118   0.07654
 0.26110   2.44667   0.95757   0.00840  0.00278  0.00000   0.00296   0.00121   0.07663
 0.27301   2.45141   0.96110   0.00815  0.00272  0.00000   0.00305   0.00124   0.07673
 0.28511   2.45616   0.96433   0.00791  0.00266  0.00000   0.00313   0.00128   0.07683
 0.29739   2.46091   0.96728   0.00767  0.00260  0.00000   0.00322   0.00131   0.07693
 0.30986   2.46567   0.96997   0.00745  0.00254  0.00000   0.00331   0.00134   0.07703
 0.32249   2.47043   0.97241   0.00724  0.00249  0.00000   0.00340   0.00138   0.07713
 0.33529   2.47520   0.97463   0.00703  0.00243  0.00000   0.00349   0.00141   0.07722
 0.34824   2.47996   0.97663   0.00683  0.00238  0.00000   0.00358   0.00145   0.07732
 0.36135   2.48472   0.97844   0.00664  0.00233  0.00000   0.00368   0.00148   0.07742
 0.37460   2.48946   0.98006   0.00645  0.00228  0.00000   0.00377   0.00151   0.07751
 0.38799   2.49420   0.98150   0.00628  0.00223  0.00000   0.00386   0.00155   0.07761
