xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   1.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.375    -0.031     0.791     1.016
 0.9975    0.265    -0.032     0.857     1.016
 0.9929    0.217    -0.032     0.885     1.016
 0.9871    0.180    -0.033     0.905     1.016
 0.9802    0.152    -0.033     0.921     1.016
 0.9725    0.129    -0.034     0.933     1.017
 0.9641    0.109    -0.035     0.944     1.017
 0.9550    0.091    -0.036     0.953     1.018
 0.9454    0.075    -0.036     0.962     1.018
 0.9352    0.060    -0.038     0.969     1.019
 0.9246    0.047    -0.039     0.976     1.019
 0.9136    0.034    -0.040     0.983     1.020
 0.9022    0.022    -0.041     0.989     1.020
 0.8904    0.011    -0.043     0.995     1.021
 0.8783    0.000    -0.044     1.000     1.022
 0.8660   -0.010    -0.046     1.005     1.023
 0.8533   -0.020    -0.048     1.010     1.024
 0.8404   -0.030    -0.050     1.015     1.025
 0.8273   -0.039    -0.053     1.019     1.026
 0.8140   -0.048    -0.055     1.024     1.027
 0.8005   -0.056    -0.058     1.028     1.029
 0.7868   -0.065    -0.061     1.032     1.030
 0.7730   -0.073    -0.064     1.036     1.032
 0.7591   -0.081    -0.068     1.040     1.033
 0.7450   -0.089    -0.071     1.044     1.035
 0.7308   -0.097    -0.076     1.048     1.037
 0.7165   -0.105    -0.080     1.051     1.039
 0.7022   -0.113    -0.085     1.055     1.041
 0.6878   -0.121    -0.089     1.059     1.044
 0.6733   -0.129    -0.095     1.062     1.046
 0.6588   -0.137    -0.100     1.066     1.049
 0.6442   -0.144    -0.106     1.070     1.052
 0.6297   -0.152    -0.112     1.073     1.055
 0.6151   -0.160    -0.118     1.077     1.058
 0.6005   -0.168    -0.125     1.081     1.061
 0.5860   -0.175    -0.132     1.084     1.064
 0.5714   -0.183    -0.139     1.088     1.067
 0.5569   -0.191    -0.147     1.091     1.071
 0.5424   -0.199    -0.154     1.095     1.074
 0.5280   -0.207    -0.162     1.099     1.078
 0.5136   -0.215    -0.170     1.102     1.081
 0.4993   -0.223    -0.178     1.106     1.085
 0.4850   -0.231    -0.186     1.109     1.089
 0.4709   -0.239    -0.194     1.113     1.093
 0.4568   -0.247    -0.202     1.117     1.096
 0.4428   -0.255    -0.210     1.120     1.100
 0.4289   -0.263    -0.218     1.124     1.104
 0.4152   -0.271    -0.226     1.127     1.107
 0.4015   -0.279    -0.234     1.131     1.111
 0.3880   -0.288    -0.242     1.135     1.114
 0.3746   -0.296    -0.250     1.138     1.118
 0.3613   -0.304    -0.258     1.142     1.122
 0.3482   -0.312    -0.266     1.145     1.125
 0.3353   -0.320    -0.274     1.149     1.129
 0.3225   -0.328    -0.282     1.152     1.132
 0.3099   -0.336    -0.289     1.156     1.135
 0.2974   -0.344    -0.297     1.159     1.139
 0.2851   -0.352    -0.304     1.163     1.142
 0.2730   -0.360    -0.312     1.166     1.145
 0.2611   -0.368    -0.319     1.170     1.148
 0.2494   -0.376    -0.326     1.173     1.152
 0.2379   -0.384    -0.333     1.176     1.155
 0.2266   -0.391    -0.340     1.180     1.157
 0.2155   -0.399    -0.346     1.183     1.160
 0.2046   -0.406    -0.353     1.186     1.163
 0.1939   -0.414    -0.359     1.189     1.166
 0.1835   -0.421    -0.365     1.192     1.168
 0.1733   -0.428    -0.371     1.195     1.171
 0.1634   -0.435    -0.377     1.198     1.173
 0.1537   -0.442    -0.382     1.201     1.176
 0.1442   -0.449    -0.387     1.204     1.178
 0.1350   -0.455    -0.392     1.206     1.180
 0.1261   -0.462    -0.397     1.209     1.182
 0.1174   -0.468    -0.401     1.212     1.184
 0.1090   -0.474    -0.405     1.214     1.185
 0.1008   -0.480    -0.408     1.217     1.187
 0.0930   -0.486    -0.411     1.219     1.188
 0.0854   -0.491    -0.414     1.221     1.189
 0.0781   -0.496    -0.415     1.223     1.190
 0.0712   -0.501    -0.416     1.225     1.190
 0.0645   -0.505    -0.417     1.227     1.190
 0.0581   -0.508    -0.416     1.228     1.190
 0.0520   -0.511    -0.413     1.229     1.189
 0.0463   -0.512    -0.409     1.230     1.187
 0.0408   -0.512    -0.403     1.230     1.184
 0.0357   -0.510    -0.394     1.229     1.181
 0.0309   -0.506    -0.382     1.227     1.175
 0.0264   -0.498    -0.365     1.224     1.168
 0.0223   -0.485    -0.342     1.219     1.158
 0.0185   -0.465    -0.311     1.210     1.145
 0.0150   -0.435    -0.269     1.198     1.127
 0.0119   -0.392    -0.213     1.180     1.101
 0.0092   -0.330    -0.138     1.153     1.067
 0.0067   -0.241    -0.038     1.114     1.019
 0.0047   -0.118     0.093     1.057     0.952
 0.0030    0.049     0.259     0.975     0.861
 0.0017    0.261     0.458     0.860     0.736
 0.0008    0.505     0.671     0.703     0.574
 0.0002    0.745     0.861     0.505     0.373
 0.0000    0.924     0.978     0.276     0.148
 0.0002    0.998     0.993     0.039    -0.082
 0.0008    0.967     0.913    -0.183    -0.294
 0.0017    0.860     0.774    -0.374    -0.475
 0.0030    0.720     0.615    -0.529    -0.621
 0.0047    0.576     0.462    -0.651    -0.733
 0.0067    0.446     0.329    -0.745    -0.819
 0.0092    0.333     0.216    -0.817    -0.885
 0.0119    0.239     0.125    -0.872    -0.936
 0.0150    0.161     0.050    -0.916    -0.975
 0.0185    0.096    -0.011    -0.951    -1.005
 0.0223    0.043    -0.060    -0.978    -1.030
 0.0264   -0.001    -0.100    -1.001    -1.049
 0.0309   -0.038    -0.134    -1.019    -1.065
 0.0357   -0.070    -0.161    -1.034    -1.078
 0.0408   -0.096    -0.184    -1.047    -1.088
 0.0463   -0.119    -0.203    -1.058    -1.097
 0.0520   -0.138    -0.219    -1.067    -1.104
 0.0581   -0.154    -0.233    -1.074    -1.110
 0.0645   -0.168    -0.244    -1.081    -1.116
 0.0712   -0.180    -0.254    -1.086    -1.120
 0.0781   -0.191    -0.262    -1.091    -1.123
 0.0854   -0.200    -0.269    -1.095    -1.126
 0.0930   -0.207    -0.274    -1.099    -1.129
 0.1008   -0.214    -0.279    -1.102    -1.131
 0.1090   -0.219    -0.283    -1.104    -1.133
 0.1174   -0.223    -0.285    -1.106    -1.134
 0.1261   -0.227    -0.288    -1.108    -1.135
 0.1350   -0.230    -0.289    -1.109    -1.135
 0.1442   -0.232    -0.290    -1.110    -1.136
 0.1537   -0.234    -0.290    -1.111    -1.136
 0.1634   -0.235    -0.290    -1.111    -1.136
 0.1733   -0.235    -0.290    -1.111    -1.136
 0.1835   -0.235    -0.289    -1.111    -1.135
 0.1939   -0.235    -0.287    -1.111    -1.135
 0.2046   -0.234    -0.285    -1.111    -1.134
 0.2155   -0.232    -0.283    -1.110    -1.133
 0.2266   -0.231    -0.281    -1.109    -1.132
 0.2379   -0.228    -0.278    -1.108    -1.131
 0.2494   -0.226    -0.275    -1.107    -1.129
 0.2611   -0.223    -0.272    -1.106    -1.128
 0.2730   -0.220    -0.269    -1.105    -1.126
 0.2851   -0.217    -0.265    -1.103    -1.125
 0.2974   -0.214    -0.261    -1.102    -1.123
 0.3099   -0.210    -0.257    -1.100    -1.121
 0.3225   -0.206    -0.253    -1.098    -1.119
 0.3353   -0.202    -0.249    -1.096    -1.117
 0.3482   -0.198    -0.244    -1.095    -1.115
 0.3613   -0.194    -0.240    -1.093    -1.113
 0.3746   -0.189    -0.235    -1.090    -1.111
 0.3880   -0.184    -0.230    -1.088    -1.109
 0.4015   -0.180    -0.226    -1.086    -1.107
 0.4152   -0.175    -0.221    -1.084    -1.105
 0.4289   -0.170    -0.216    -1.082    -1.103
 0.4428   -0.165    -0.211    -1.079    -1.100
 0.4568   -0.160    -0.206    -1.077    -1.098
 0.4709   -0.155    -0.201    -1.075    -1.096
 0.4850   -0.149    -0.196    -1.072    -1.094
 0.4993   -0.144    -0.191    -1.070    -1.091
 0.5136   -0.139    -0.186    -1.067    -1.089
 0.5280   -0.133    -0.181    -1.065    -1.087
 0.5424   -0.128    -0.176    -1.062    -1.084
 0.5569   -0.123    -0.171    -1.060    -1.082
 0.5714   -0.117    -0.165    -1.057    -1.080
 0.5860   -0.112    -0.160    -1.054    -1.077
 0.6005   -0.106    -0.155    -1.052    -1.075
 0.6151   -0.101    -0.151    -1.049    -1.073
 0.6297   -0.095    -0.146    -1.046    -1.070
 0.6442   -0.089    -0.141    -1.044    -1.068
 0.6588   -0.084    -0.136    -1.041    -1.066
 0.6733   -0.078    -0.131    -1.038    -1.063
 0.6878   -0.072    -0.126    -1.035    -1.061
 0.7022   -0.066    -0.121    -1.033    -1.059
 0.7165   -0.060    -0.117    -1.030    -1.057
 0.7308   -0.054    -0.112    -1.027    -1.055
 0.7450   -0.048    -0.108    -1.024    -1.052
 0.7591   -0.042    -0.103    -1.021    -1.050
 0.7730   -0.036    -0.098    -1.018    -1.048
 0.7868   -0.029    -0.094    -1.014    -1.046
 0.8005   -0.022    -0.090    -1.011    -1.044
 0.8140   -0.015    -0.085    -1.008    -1.042
 0.8273   -0.008    -0.081    -1.004    -1.040
 0.8404   -0.000    -0.077    -1.000    -1.038
 0.8533    0.007    -0.073    -0.996    -1.036
 0.8660    0.016    -0.069    -0.992    -1.034
 0.8783    0.024    -0.065    -0.988    -1.032
 0.8904    0.033    -0.062    -0.983    -1.030
 0.9022    0.043    -0.058    -0.978    -1.029
 0.9136    0.053    -0.055    -0.973    -1.027
 0.9246    0.064    -0.052    -0.967    -1.025
 0.9352    0.076    -0.049    -0.961    -1.024
 0.9454    0.090    -0.046    -0.954    -1.023
 0.9550    0.104    -0.043    -0.947    -1.021
 0.9641    0.120    -0.041    -0.938    -1.020
 0.9725    0.139    -0.038    -0.928    -1.019
 0.9802    0.160    -0.036    -0.916    -1.018
 0.9871    0.187    -0.035    -0.902    -1.017
 0.9929    0.221    -0.033    -0.883    -1.016
 0.9975    0.268    -0.032    -0.856    -1.016
 1.0000    0.375    -0.031    -0.791    -1.016


