xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   3.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.1634   -0.046    -0.049    -1.023    -1.024
 0.1733   -0.053    -0.056    -1.026    -1.028
 0.1835   -0.059    -0.063    -1.029    -1.031
 0.1939   -0.065    -0.068    -1.032    -1.033
 0.2046   -0.069    -0.073    -1.034    -1.036
 0.2155   -0.073    -0.077    -1.036    -1.038
 0.2266   -0.077    -0.080    -1.038    -1.039
 0.2379   -0.080    -0.083    -1.039    -1.041
 0.2494   -0.082    -0.086    -1.040    -1.042
 0.2611   -0.084    -0.088    -1.041    -1.043
 0.2730   -0.085    -0.090    -1.042    -1.044
 0.2851   -0.086    -0.091    -1.042    -1.044
 0.2974   -0.087    -0.092    -1.043    -1.045
 0.3099   -0.087    -0.092    -1.043    -1.045
 0.3225   -0.087    -0.092    -1.043    -1.045
 0.3353   -0.087    -0.092    -1.043    -1.045
 0.3482   -0.086    -0.092    -1.042    -1.045
 0.3613   -0.086    -0.091    -1.042    -1.045
 0.3746   -0.084    -0.090    -1.041    -1.044
 0.3880   -0.083    -0.089    -1.041    -1.044
 0.4015   -0.081    -0.088    -1.040    -1.043
 0.4152   -0.080    -0.086    -1.039    -1.042
 0.4289   -0.078    -0.084    -1.038    -1.041
 0.4428   -0.075    -0.082    -1.037    -1.040
 0.4568   -0.073    -0.080    -1.036    -1.039
 0.4709   -0.071    -0.078    -1.035    -1.038
 0.4850   -0.068    -0.076    -1.034    -1.037
 0.4993   -0.065    -0.073    -1.032    -1.036
 0.5136   -0.063    -0.071    -1.031    -1.035
 0.5280   -0.060    -0.068    -1.029    -1.033
 0.5424   -0.057    -0.065    -1.028    -1.032
 0.5569   -0.054    -0.062    -1.026    -1.031
 0.5714   -0.050    -0.059    -1.025    -1.029
 0.5860   -0.047    -0.056    -1.023    -1.028
 0.6005   -0.044    -0.053    -1.022    -1.026
 0.6151   -0.040    -0.050    -1.020    -1.025
 0.6297   -0.037    -0.047    -1.018    -1.023
 0.6442   -0.033    -0.043    -1.016    -1.021
 0.6588   -0.030    -0.040    -1.015    -1.020
