xflr5 v6.30
NACA 0010
Alpha =   0.0,  Re =    50000,  Ma= 0.0000,  ACrit= 9.0


Bottom Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.51359   2.93341   1.08716   0.00233  0.00170  0.38911   0.00663   0.00226   0.08530
 0.52797   2.95371   1.08418   0.00220  0.00166  0.44129   0.00681   0.00230   0.08561
 0.54240   2.97511   1.08120   0.00207  0.00161  0.49537   0.00699   0.00235   0.08593
 0.55689   2.99772   1.07823   0.00194  0.00157  0.55143   0.00718   0.00239   0.08626
 0.57141   3.02167   1.07526   0.00181  0.00153  0.60953   0.00737   0.00244   0.08661
 0.58595   3.04709   1.07230   0.00168  0.00149  0.66978   0.00757   0.00248   0.08698
 0.60052   3.07413   1.06935   0.00156  0.00145  0.73225   0.00778   0.00253   0.08736
 0.61510   3.10294   1.06641   0.00144  0.00142  0.79703   0.00799   0.00258   0.08776
 0.62968   3.13370   1.06350   0.00132  0.00138  0.86421   0.00821   0.00262   0.08819
 0.64425   3.16658   1.06061   0.00121  0.00135  0.93387   0.00844   0.00267   0.08863
 0.65879   3.20177   1.05774   0.00109  0.00132  1.00609   0.00868   0.00271   0.08910
 0.67331   3.23947   1.05491   0.00098  0.00129  1.08095   0.00893   0.00276   0.08960
 0.68778   3.27987   1.05213   0.00087  0.00126  1.15850   0.00919   0.00280   0.09011
 0.70220   3.32316   1.04939   0.00076  0.00123  1.23879   0.00946   0.00285   0.09066
 0.71655   3.36954   1.04670   0.00066  0.00121  1.32184   0.00974   0.00289   0.09123
 0.73082   3.41917   1.04408   0.00056  0.00118  1.40767   0.01003   0.00293   0.09182
 0.74500   3.47220   1.04153   0.00046  0.00116  1.49625   0.01033   0.00298   0.09244
 0.75907   3.52874   1.03906   0.00036  0.00113  1.58752   0.01065   0.00302   0.09308
 0.77303   3.58886   1.03667   0.00028  0.00111  1.68140   0.01097   0.00306   0.09375
 0.78685   3.65257   1.03437   0.00019  0.00109  1.77773   0.01132   0.00310   0.09444
 0.80051   3.71983   1.03217   0.00011  0.00108  1.87637   0.01167   0.00314   0.09514
 0.81401   3.79051   1.03006   0.00004  0.00106  1.97707   0.01203   0.00317   0.09586
 0.82733   3.86439   1.02806  -0.00003  0.00104  2.07959   0.01241   0.00321   0.09658
 0.84043   3.94118   1.02616  -0.00009  0.00103  2.18361   0.01279   0.00325   0.09731
 0.85332   4.02049   1.02436  -0.00014  0.00101  2.28877   0.01318   0.00328   0.09803
 0.86596   4.10182   1.02266  -0.00019  0.00100  2.39467   0.01358   0.00331   0.09875
 0.87833   4.18461   1.02105  -0.00023  0.00099  2.50089   0.01398   0.00334   0.09945
 0.89041   4.26822   1.01953  -0.00027  0.00097  2.60693   0.01439   0.00337   0.10014
 0.90217   4.35191   1.01810  -0.00030  0.00096  2.71229   0.01480   0.00340   0.10079
 0.91358   4.43514   1.01675  -0.00032  0.00095  2.81641   0.01520   0.00343   0.10142
 0.92461   4.51733   1.01550  -0.00034  0.00094  2.91872   0.01560   0.00345   0.10203
 0.93521   4.59767   1.01434  -0.00035  0.00093  3.01863   0.01599   0.00348   0.10259
 0.94536   4.67530   1.01327  -0.00036  0.00092  3.11546   0.01636   0.00350   0.10313
 0.95499   4.74926   1.01229  -0.00037  0.00092  3.20852   0.01672   0.00352   0.10362
 0.96406   4.81853   1.01140  -0.00038  0.00091  3.29699   0.01706   0.00354   0.10407
 0.97248   4.88202   1.01060  -0.00038  0.00090  3.37996   0.01737   0.00356   0.10447
 0.98019   4.93858   1.00988  -0.00038  0.00090  3.45636   0.01765   0.00357   0.10482
 0.98705   4.98696   1.00926  -0.00038  0.00089  3.52483   0.01789   0.00359   0.10511
 0.99291   5.02546   1.00873  -0.00039  0.00089  3.58351   0.01809   0.00360   0.10534
 0.99748   5.05316   1.00833  -0.00039  0.00088  3.62943   0.01824   0.00361   0.10550
 1.00000   5.05670   1.00810  -0.00019  0.00821  0.08232   0.01828   0.00361   0.10316
 1.00010   5.34524   1.00810   0.00000  0.01548  0.08232   0.03864   0.00723   0.10553
 1.00264   5.24543   1.00663   0.00000  0.01559  0.08272   0.03833   0.00731   0.10591
 1.00566   5.11247   1.00462   0.00000  0.01565  0.08321   0.03789   0.00741   0.10587
 1.00925   4.93915   1.00170   0.00000  0.01560  0.08382   0.03737   0.00757   0.10476
 1.01351   4.73413   0.99807   0.00000  0.01551  0.08451   0.03672   0.00776   0.10335
 1.01858   4.49379   0.99352   0.00000  0.01537  0.08530   0.03592   0.00799   0.10154
 1.02461   4.21885   0.98792   0.00000  0.01515  0.08617   0.03496   0.00829   0.09925
 1.03178   3.91946   0.98152   0.00000  0.01485  0.08706   0.03378   0.00862   0.09650
 1.04029   3.60857   0.97481   0.00000  0.01444  0.08788   0.03236   0.00897   0.09336
 1.05042   3.28207   0.96747   0.00000  0.01389  0.08860   0.03067   0.00934   0.08955
 1.06245   2.94951   0.95987   0.00000  0.01316  0.08910   0.02869   0.00973   0.08495
 1.07676   2.62269   0.95271   0.00000  0.01222  0.08919   0.02644   0.01008   0.07946
 1.09376   2.31446   0.94695   0.00000  0.01106  0.08868   0.02398   0.01036   0.07300
 1.11398   2.03674   0.94369   0.00000  0.00970  0.08739   0.02141   0.01051   0.06560
 1.13800   1.79840   0.94376   0.00000  0.00820  0.08520   0.01890   0.01051   0.05744
 1.16657   1.60326   0.94715   0.00000  0.00666  0.08220   0.01662   0.01037   0.04891
 1.20052   1.44961   0.95297   0.00000  0.00520  0.07862   0.01471   0.01015   0.04052
 1.24088   1.33171   0.95988   0.00000  0.00391  0.07478   0.01319   0.00990   0.03269
 1.28885   1.24242   0.96675   0.00000  0.00284  0.07097   0.01202   0.00967   0.02571
 1.34587   1.17533   0.97295   0.00000  0.00199  0.06717   0.01114   0.00948   0.01972
 1.41366   1.12555   0.97830   0.00000  0.00134  0.06317   0.01048   0.00931   0.01479
 1.49424   1.08926   0.98279   0.00000  0.00086  0.05895   0.01000   0.00918   0.01088
 1.59002   1.06331   0.98649   0.00000  0.00054  0.05455   0.00965   0.00908   0.00792
 1.70388   1.04508   0.98949   0.00000  0.00032  0.05004   0.00940   0.00899   0.00574
 1.83922   1.03246   0.99190   0.00000  0.00019  0.04550   0.00922   0.00893   0.00419
