xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   8.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0309   -2.772    -2.090     1.942     1.758
 0.0264   -2.966    -2.115     1.991     1.765
 0.0223   -3.186    -2.149     2.046     1.775
 0.0185   -3.434    -2.196     2.106     1.788
 0.0150   -3.714    -2.263     2.171     1.806
 0.0119   -4.026    -2.360     2.242     1.833
 0.0092   -4.369    -2.495     2.317     1.869
 0.0067   -4.730    -2.671     2.394     1.916
 0.0047   -5.081    -2.869     2.466     1.967
 0.0030   -5.365    -3.036     2.523     2.009
 0.0017   -5.487    -3.092     2.547     2.023
 0.0008   -5.322    -2.949     2.514     1.987
 0.0002   -4.767    -2.550     2.401     1.884
 0.0000   -3.847    -1.925     2.202     1.710
 0.0002   -2.765    -1.197     1.940     1.482
 0.0008   -1.679    -0.492     1.637     1.221
 0.0017   -0.755     0.086     1.325     0.956
 0.0030   -0.066     0.498     1.033     0.709
 0.0047    0.401     0.760     0.774     0.490
 0.0067    0.694     0.908     0.553     0.303
 0.0092    0.866     0.979     0.366     0.144
 0.0119    0.956     1.000     0.210     0.013
 0.0150    0.994     0.990     0.077    -0.098
 0.0185    0.999     0.962    -0.034    -0.195
 0.0223    0.983     0.924    -0.130    -0.275
 0.0264    0.955     0.881    -0.212    -0.345
 0.0309    0.920     0.836    -0.283    -0.405
 0.0357    0.881     0.790    -0.344    -0.458
 0.0408    0.841     0.745    -0.399    -0.505
 0.0463    0.801     0.702    -0.447    -0.546
 0.0520    0.761     0.661    -0.489    -0.582
 0.0581    0.722     0.622    -0.527    -0.615
 0.0645    0.685     0.585    -0.561    -0.644
 0.0712    0.649     0.550    -0.592    -0.671
 0.0781    0.616     0.517    -0.620    -0.695
 0.0854    0.584     0.486    -0.645    -0.717
 0.0930    0.553     0.457    -0.668    -0.737
 0.1008    0.524     0.430    -0.690    -0.755
 0.1090    0.497     0.405    -0.709    -0.772
 0.1174    0.472     0.381    -0.727    -0.787
 0.1261    0.448     0.358    -0.743    -0.801
 0.1350    0.425     0.337    -0.758    -0.814
 0.1442    0.404     0.317    -0.772    -0.827
 0.1537    0.383     0.298    -0.785    -0.838
 0.1634    0.364     0.281    -0.797    -0.848
 0.1733    0.347     0.264    -0.808    -0.858
 0.1835    0.330     0.248    -0.819    -0.867
 0.1939    0.314     0.234    -0.828    -0.875
 0.2046    0.299     0.220    -0.837    -0.883
 0.2155    0.285     0.207    -0.846    -0.890
 0.2266    0.272     0.195    -0.853    -0.897
 0.2379    0.260     0.184    -0.860    -0.903
 0.2494    0.248     0.174    -0.867    -0.909
 0.2611    0.237     0.164    -0.873    -0.914
 0.2730    0.227     0.154    -0.879    -0.920
 0.2851    0.218     0.146    -0.885    -0.924
 0.2974    0.209     0.138    -0.890    -0.929
 0.3099    0.200     0.130    -0.894    -0.933
 0.3225    0.193     0.123    -0.899    -0.936
 0.3353    0.185     0.116    -0.903    -0.940
 0.3482    0.179     0.110    -0.906    -0.943
 0.3613    0.172     0.104    -0.910    -0.946
 0.3746    0.166     0.099    -0.913    -0.949
 0.3880    0.161     0.094    -0.916    -0.952
 0.4015    0.156     0.089    -0.919    -0.954
 0.4152    0.151     0.085    -0.921    -0.957
 0.4289    0.147     0.081    -0.924    -0.959
 0.4428    0.143     0.077    -0.926    -0.961
 0.4568    0.139     0.074    -0.928    -0.962
 0.4709    0.135     0.070    -0.930    -0.964
 0.4850    0.132     0.067    -0.932    -0.966
 0.4993    0.129     0.064    -0.933    -0.967
 0.5136    0.126     0.062    -0.935    -0.969
 0.5280    0.124     0.059    -0.936    -0.970
 0.5424    0.122     0.057    -0.937    -0.971
 0.5569    0.119     0.055    -0.938    -0.972
 0.5714    0.118     0.053    -0.939    -0.973
 0.5860    0.116     0.051    -0.940    -0.974
 0.6005    0.114     0.050    -0.941    -0.975
 0.6151    0.113     0.048    -0.942    -0.976
 0.6297    0.112     0.046    -0.942    -0.976
 0.6442    0.111     0.045    -0.943    -0.977
 0.6588    0.110     0.044    -0.943    -0.978
 0.6733    0.109     0.043    -0.944    -0.978
 0.6878    0.109     0.042    -0.944    -0.979
 0.7022    0.108     0.041    -0.944    -0.979
 0.7165    0.108     0.040    -0.944    -0.980
 0.7308    0.108     0.039    -0.944    -0.980
 0.7450    0.108     0.039    -0.944    -0.980
 0.7591    0.109     0.038    -0.944    -0.981
 0.7730    0.109     0.038    -0.944    -0.981
 0.7868    0.110     0.038    -0.943    -0.981
 0.8005    0.111     0.038    -0.943    -0.981
 0.8140    0.112     0.038    -0.942    -0.981
 0.8273    0.114     0.038    -0.941    -0.981
 0.8404    0.116     0.038    -0.940    -0.981
 0.8533    0.118     0.039    -0.939    -0.981
 0.8660    0.121     0.039    -0.938    -0.980
 0.8783    0.124     0.040    -0.936    -0.980
 0.8904    0.127     0.041    -0.934    -0.979
 0.9022    0.132     0.042    -0.932    -0.979
 0.9136    0.136     0.043    -0.929    -0.978
 0.9246    0.142     0.044    -0.926    -0.978
 0.9352    0.148     0.046    -0.923    -0.977
 0.9454    0.156     0.047    -0.919    -0.976
 0.9550    0.164     0.049    -0.914    -0.975
 0.9641    0.175     0.050    -0.908    -0.974
 0.9725    0.188     0.052    -0.901    -0.974
 0.9802    0.203     0.054    -0.893    -0.973
 0.9871    0.223     0.056    -0.881    -0.972
 0.9929    0.251     0.057    -0.865    -0.971
 0.9975    0.291     0.058    -0.842    -0.970
 1.0000    0.387     0.058    -0.783    -0.970


