xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   8.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.387     0.058     0.783     0.970
 0.9975    0.269     0.056     0.855     0.971
 0.9929    0.216     0.053     0.885     0.973
 0.9871    0.175     0.048     0.908     0.976
 0.9802    0.141     0.042     0.927     0.979
 0.9725    0.113     0.036     0.942     0.982
 0.9641    0.087     0.029     0.956     0.985
 0.9550    0.064     0.022     0.968     0.989
 0.9454    0.042     0.014     0.979     0.993
 0.9352    0.022     0.005     0.989     0.997
 0.9246    0.003    -0.004     0.999     1.002
 0.9136   -0.015    -0.013     1.008     1.006
 0.9022   -0.033    -0.022     1.016     1.011
 0.8904   -0.050    -0.032     1.025     1.016
 0.8783   -0.066    -0.043     1.033     1.021
 0.8660   -0.083    -0.053     1.040     1.026
 0.8533   -0.098    -0.064     1.048     1.031
 0.8404   -0.114    -0.075     1.055     1.037
 0.8273   -0.129    -0.086     1.062     1.042
 0.8140   -0.144    -0.098     1.070     1.048
 0.8005   -0.159    -0.109     1.076     1.053
 0.7868   -0.174    -0.121     1.083     1.059
 0.7730   -0.188    -0.134     1.090     1.065
 0.7591   -0.203    -0.146     1.097     1.070
 0.7450   -0.218    -0.158     1.103     1.076
 0.7308   -0.232    -0.171     1.110     1.082
 0.7165   -0.247    -0.184     1.117     1.088
 0.7022   -0.262    -0.197     1.123     1.094
 0.6878   -0.277    -0.210     1.130     1.100
 0.6733   -0.292    -0.224     1.137     1.106
 0.6588   -0.307    -0.238     1.143     1.112
 0.6442   -0.323    -0.251     1.150     1.119
 0.6297   -0.339    -0.265     1.157     1.125
 0.6151   -0.354    -0.280     1.164     1.131
 0.6005   -0.371    -0.294     1.171     1.138
 0.5860   -0.387    -0.309     1.178     1.144
 0.5714   -0.404    -0.324     1.185     1.151
 0.5569   -0.421    -0.339     1.192     1.157
 0.5424   -0.438    -0.354     1.199     1.164
 0.5280   -0.455    -0.370     1.206     1.170
 0.5136   -0.473    -0.386     1.214     1.177
 0.4993   -0.492    -0.402     1.221     1.184
 0.4850   -0.510    -0.419     1.229     1.191
 0.4709   -0.529    -0.435     1.237     1.198
 0.4568   -0.549    -0.453     1.244     1.205
 0.4428   -0.569    -0.470     1.252     1.213
 0.4289   -0.589    -0.488     1.261     1.220
 0.4152   -0.610    -0.506     1.269     1.227
 0.4015   -0.631    -0.525     1.277     1.235
 0.3880   -0.653    -0.545     1.286     1.243
 0.3746   -0.675    -0.565     1.294     1.251
 0.3613   -0.698    -0.586     1.303     1.259
 0.3482   -0.722    -0.607     1.312     1.268
 0.3353   -0.746    -0.630     1.321     1.277
 0.3225   -0.771    -0.654     1.331     1.286
 0.3099   -0.796    -0.679     1.340     1.296
 0.2974   -0.822    -0.707     1.350     1.306
 0.2851   -0.849    -0.736     1.360     1.318
 0.2730   -0.877    -0.768     1.370     1.330
 0.2611   -0.906    -0.804     1.381     1.343
 0.2494   -0.936    -0.844     1.391     1.358
 0.2379   -0.967    -0.888     1.402     1.374
 0.2266   -0.998    -0.939     1.414     1.392
 0.2155   -1.032    -0.996     1.425     1.413
 0.2046   -1.066    -1.061     1.437     1.436
 0.1939   -1.102    -1.139     1.450     1.462
 0.1835   -1.139    -1.234     1.463     1.495
 0.1733   -1.178    -1.337     1.476     1.529
 0.1634   -1.219    -1.449     1.490     1.565
 0.1537   -1.262    -1.573     1.504     1.604
 0.1442   -1.308    -1.719     1.519     1.649
 0.1350   -1.356    -1.920     1.535     1.709
 0.1261   -1.407    -1.942     1.551     1.715
 0.1174   -1.461    -1.950     1.569     1.718
 0.1090   -1.519    -1.958     1.587     1.720
 0.1008   -1.580    -1.966     1.606     1.722
 0.0930   -1.647    -1.974     1.627     1.725
 0.0854   -1.718    -1.982     1.649     1.727
 0.0781   -1.796    -1.991     1.672     1.729
 0.0712   -1.880    -1.999     1.697     1.732
 0.0645   -1.972    -2.008     1.724     1.734
 0.0581   -2.073    -2.018     1.753     1.737
 0.0520   -2.185    -2.028     1.785     1.740
 0.0463   -2.308    -2.040     1.819     1.744
 0.0408   -2.446    -2.054     1.856     1.747
 0.0357   -2.599    -2.070     1.897     1.752
