xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   5.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.380     0.094     0.788     0.952
 0.9975    0.265     0.091     0.858     0.953
 0.9929    0.214     0.085     0.887     0.957
 0.9871    0.174     0.078     0.909     0.960
 0.9802    0.143     0.069     0.926     0.965
 0.9725    0.116     0.059     0.940     0.970
 0.9641    0.093     0.049     0.952     0.975
 0.9550    0.072     0.039     0.963     0.980
 0.9454    0.053     0.028     0.973     0.986
 0.9352    0.035     0.017     0.982     0.992
 0.9246    0.018     0.005     0.991     0.997
 0.9136    0.002    -0.006     0.999     1.003
 0.9022   -0.013    -0.018     1.006     1.009
 0.8904   -0.027    -0.030     1.014     1.015
 0.8783   -0.041    -0.041     1.021     1.020
 0.8660   -0.055    -0.052     1.027     1.026
 0.8533   -0.068    -0.063     1.034     1.031
 0.8404   -0.081    -0.074     1.040     1.037
 0.8273   -0.094    -0.085     1.046     1.042
 0.8140   -0.106    -0.096     1.052     1.047
 0.8005   -0.118    -0.107     1.058     1.052
 0.7868   -0.130    -0.118     1.063     1.057
 0.7730   -0.142    -0.129     1.069     1.062
 0.7591   -0.154    -0.139     1.074     1.067
 0.7450   -0.166    -0.150     1.080     1.072
 0.7308   -0.178    -0.161     1.085     1.077
 0.7165   -0.190    -0.171     1.091     1.082
 0.7022   -0.201    -0.181     1.096     1.087
 0.6878   -0.213    -0.191     1.102     1.091
 0.6733   -0.225    -0.201     1.107     1.096
 0.6588   -0.237    -0.211     1.112     1.101
 0.6442   -0.249    -0.221     1.118     1.105
 0.6297   -0.262    -0.231     1.123     1.109
 0.6151   -0.274    -0.241     1.129     1.114
 0.6005   -0.286    -0.250     1.134     1.118
 0.5860   -0.299    -0.259     1.140     1.122
 0.5714   -0.312    -0.268     1.145     1.126
 0.5569   -0.325    -0.277     1.151     1.130
 0.5424   -0.338    -0.286     1.157     1.134
 0.5280   -0.351    -0.295     1.162     1.138
 0.5136   -0.364    -0.305     1.168     1.142
 0.4993   -0.378    -0.315     1.174     1.147
 0.4850   -0.392    -0.327     1.180     1.152
 0.4709   -0.406    -0.341     1.186     1.158
 0.4568   -0.421    -0.360     1.192     1.166
 0.4428   -0.435    -0.384     1.198     1.177
 0.4289   -0.450    -0.418     1.204     1.191
 0.4152   -0.465    -0.464     1.210     1.210
 0.4015   -0.481    -0.523     1.217     1.234
 0.3880   -0.496    -0.599     1.223     1.264
 0.3746   -0.512    -0.681     1.230     1.296
 0.3613   -0.528    -0.732     1.236     1.316
 0.3482   -0.545    -0.741     1.243     1.320
 0.3353   -0.562    -0.750     1.250     1.323
 0.3225   -0.579    -0.758     1.257     1.326
 0.3099   -0.597    -0.766     1.264     1.329
 0.2974   -0.615    -0.774     1.271     1.332
 0.2851   -0.633    -0.783     1.278     1.335
 0.2730   -0.652    -0.791     1.285     1.338
 0.2611   -0.671    -0.800     1.293     1.342
 0.2494   -0.690    -0.809     1.300     1.345
 0.2379   -0.710    -0.818     1.308     1.348
 0.2266   -0.731    -0.828     1.316     1.352
 0.2155   -0.752    -0.838     1.324     1.356
 0.2046   -0.774    -0.849     1.332     1.360
 0.1939   -0.797    -0.861     1.340     1.364
 0.1835   -0.820    -0.873     1.349     1.369
 0.1733   -0.844    -0.887     1.358     1.374
 0.1634   -0.869    -0.901     1.367     1.379
 0.1537   -0.895    -0.917     1.377     1.385
 0.1442   -0.922    -0.934     1.386     1.391
 0.1350   -0.951    -0.953     1.397     1.397
 0.1261   -0.980    -0.973     1.407     1.405
 0.1174   -1.011    -0.995     1.418     1.412
 0.1090   -1.044    -1.019     1.430     1.421
 0.1008   -1.079    -1.045     1.442     1.430
 0.0930   -1.116    -1.074     1.455     1.440
 0.0854   -1.155    -1.105     1.468     1.451
 0.0781   -1.197    -1.140     1.482     1.463
