xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   5.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0712   -1.242    -1.177     1.497     1.475
 0.0645   -1.291    -1.217     1.514     1.489
 0.0581   -1.343    -1.262     1.531     1.504
 0.0520   -1.400    -1.310     1.549     1.520
 0.0463   -1.462    -1.363     1.569     1.537
 0.0408   -1.530    -1.420     1.591     1.556
 0.0357   -1.604    -1.483     1.614     1.576
 0.0309   -1.685    -1.550     1.639     1.597
 0.0264   -1.774    -1.624     1.665     1.620
 0.0223   -1.871    -1.703     1.694     1.644
 0.0185   -1.976    -1.787     1.725     1.669
 0.0150   -2.088    -1.874     1.757     1.695
 0.0119   -2.204    -1.961     1.790     1.721
 0.0092   -2.318    -2.042     1.821     1.744
 0.0067   -2.417    -2.104     1.849     1.762
 0.0047   -2.480    -2.130     1.866     1.769
 0.0030   -2.470    -2.087     1.863     1.757
 0.0017   -2.338    -1.934     1.827     1.713
 0.0008   -2.032    -1.633     1.741     1.623
 0.0002   -1.532    -1.173     1.591     1.474
 0.0000   -0.901    -0.612     1.379     1.270
 0.0002   -0.271    -0.059     1.128     1.029
 0.0008    0.263     0.405     0.858     0.772
 0.0017    0.643     0.725     0.598     0.525
 0.0030    0.868     0.910     0.364     0.301
 0.0047    0.973     0.987     0.164     0.113
 0.0067    1.000     0.998    -0.003    -0.047
 0.0092    0.980     0.967    -0.141    -0.180
 0.0119    0.935     0.917    -0.255    -0.288
 0.0150    0.878     0.856    -0.349    -0.379
 0.0185    0.817     0.793    -0.428    -0.454
 0.0223    0.756     0.731    -0.494    -0.519
 0.0264    0.696     0.672    -0.551    -0.573
 0.0309    0.641     0.616    -0.599    -0.620
 0.0357    0.589     0.564    -0.641    -0.660
 0.0408    0.541     0.516    -0.678    -0.695
 0.0463    0.496     0.472    -0.710    -0.726
 0.0520    0.455     0.432    -0.738    -0.754
 0.0581    0.418     0.395    -0.763    -0.778
 0.0645    0.383     0.361    -0.785    -0.799
 0.0712    0.351     0.330    -0.805    -0.819
 0.0781    0.322     0.301    -0.823    -0.836
 0.0854    0.295     0.274    -0.840    -0.852
 0.0930    0.270     0.250    -0.854    -0.866
 0.1008    0.247     0.227    -0.868    -0.879
 0.1090    0.226     0.206    -0.880    -0.891
 0.1174    0.206     0.187    -0.891    -0.902
 0.1261    0.188     0.169    -0.901    -0.911
 0.1350    0.171     0.153    -0.910    -0.920
 0.1442    0.156     0.138    -0.919    -0.928
 0.1537    0.142     0.124    -0.926    -0.936
 0.1634    0.129     0.111    -0.934    -0.943
 0.1733    0.116     0.099    -0.940    -0.949
 0.1835    0.105     0.088    -0.946    -0.955
 0.1939    0.095     0.078    -0.951    -0.960
 0.2046    0.086     0.069    -0.956    -0.965
 0.2155    0.077     0.061    -0.961    -0.969
 0.2266    0.069     0.053    -0.965    -0.973
 0.2379    0.062     0.046    -0.968    -0.977
 0.2494    0.055     0.040    -0.972    -0.980
 0.2611    0.050     0.034    -0.975    -0.983
 0.2730    0.044     0.028    -0.978    -0.986
 0.2851    0.039     0.024    -0.980    -0.988
 0.2974    0.035     0.019    -0.982    -0.990
 0.3099    0.031     0.016    -0.984    -0.992
 0.3225    0.028     0.012    -0.986    -0.994
 0.3353    0.025     0.009    -0.988    -0.995
 0.3482    0.022     0.007    -0.989    -0.997
 0.3613    0.020     0.004    -0.990    -0.998
 0.3746    0.018     0.003    -0.991    -0.999
 0.3880    0.016     0.001    -0.992    -1.000
 0.4015    0.015    -0.000    -0.992    -1.000
 0.4152    0.014    -0.001    -0.993    -1.001
 0.4289    0.013    -0.002    -0.993    -1.001
 0.4428    0.013    -0.003    -0.994    -1.001
 0.4568    0.013    -0.003    -0.994    -1.002
 0.4709    0.013    -0.003    -0.994    -1.002
 0.4850    0.013    -0.003    -0.994    -1.002
 0.4993    0.013    -0.003    -0.994    -1.001
 0.5136    0.013    -0.003    -0.993    -1.001
 0.5280    0.014    -0.002    -0.993    -1.001
 0.5424    0.015    -0.001    -0.993    -1.001
 0.5569    0.016    -0.000    -0.992    -1.000
 0.5714    0.017     0.001    -0.992    -1.000
 0.5860    0.018     0.002    -0.991    -0.999
 0.6005    0.019     0.003    -0.990    -0.999
 0.6151    0.021     0.004    -0.990    -0.998
 0.6297    0.022     0.006    -0.989    -0.997
 0.6442    0.024     0.007    -0.988    -0.996
 0.6588    0.026     0.009    -0.987    -0.995
 0.6733    0.028     0.011    -0.986    -0.995
 0.6878    0.030     0.013    -0.985    -0.994
 0.7022    0.032     0.015    -0.984    -0.993
 0.7165    0.034     0.017    -0.983    -0.991
 0.7308    0.037     0.019    -0.982    -0.990
 0.7450    0.039     0.022    -0.980    -0.989
 0.7591    0.042     0.024    -0.979    -0.988
 0.7730    0.045     0.027    -0.977    -0.986
 0.7868    0.048     0.030    -0.976    -0.985
 0.8005    0.052     0.033    -0.974    -0.984
 0.8140    0.055     0.036    -0.972    -0.982
 0.8273    0.059     0.039    -0.970    -0.980
 0.8404    0.063     0.042    -0.968    -0.979
 0.8533    0.068     0.046    -0.965    -0.977
 0.8660    0.073     0.049    -0.963    -0.975
 0.8783    0.078     0.053    -0.960    -0.973
 0.8904    0.084     0.057    -0.957    -0.971
 0.9022    0.091     0.061    -0.954    -0.969
 0.9136    0.098     0.064    -0.950    -0.967
 0.9246    0.106     0.068    -0.946    -0.965
 0.9352    0.115     0.072    -0.941    -0.963
 0.9454    0.124     0.075    -0.936    -0.962
 0.9550    0.136     0.079    -0.930    -0.960
 0.9641    0.149     0.082    -0.923    -0.958
 0.9725    0.164     0.085    -0.914    -0.957
 0.9802    0.182     0.087    -0.904    -0.955
 0.9871    0.205     0.090    -0.892    -0.954
 0.9929    0.236     0.092    -0.874    -0.953
 0.9975    0.278     0.093    -0.849    -0.952
 1.0000    0.380     0.094    -0.788    -0.952


