xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   6.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0030    0.656     0.787     0.587     0.462
 0.0047    0.865     0.934     0.367     0.258
 0.0067    0.967     0.992     0.182     0.089
 0.0092    0.999     0.997     0.028    -0.054
 0.0119    0.990     0.970    -0.100    -0.174
 0.0150    0.957     0.926    -0.207    -0.272
 0.0185    0.912     0.873    -0.297    -0.356
 0.0223    0.861     0.818    -0.373    -0.426
 0.0264    0.808     0.763    -0.438    -0.487
 0.0309    0.756     0.709    -0.494    -0.539
 0.0357    0.706     0.659    -0.542    -0.584
 0.0408    0.658     0.611    -0.585    -0.624
 0.0463    0.613     0.566    -0.622    -0.659
 0.0520    0.571     0.524    -0.655    -0.690
 0.0581    0.531     0.486    -0.685    -0.717
 0.0645    0.495     0.450    -0.711    -0.742
 0.0712    0.460     0.417    -0.735    -0.764
 0.0781    0.429     0.386    -0.756    -0.784
 0.0854    0.399     0.357    -0.775    -0.802
 0.0930    0.372     0.331    -0.793    -0.818
 0.1008    0.346     0.306    -0.809    -0.833
 0.1090    0.322     0.283    -0.823    -0.847
 0.1174    0.300     0.262    -0.836    -0.859
 0.1261    0.280     0.242    -0.849    -0.871
 0.1350    0.261     0.224    -0.860    -0.881
 0.1442    0.243     0.206    -0.870    -0.891
 0.1537    0.226     0.191    -0.880    -0.900
 0.1634    0.211     0.176    -0.888    -0.908
 0.1733    0.197     0.162    -0.896    -0.915
 0.1835    0.183     0.149    -0.904    -0.922
 0.1939    0.171     0.138    -0.911    -0.929
 0.2046    0.159     0.127    -0.917    -0.935
 0.2155    0.149     0.116    -0.923    -0.940
 0.2266    0.139     0.107    -0.928    -0.945
 0.2379    0.130     0.098    -0.933    -0.950
 0.2494    0.122     0.090    -0.937    -0.954
 0.2611    0.114     0.083    -0.941    -0.958
 0.2730    0.107     0.076    -0.945    -0.961
 0.2851    0.100     0.070    -0.949    -0.964
 0.2974    0.094     0.064    -0.952    -0.967
 0.3099    0.089     0.059    -0.955    -0.970
 0.3225    0.084     0.054    -0.957    -0.972
 0.3353    0.079     0.050    -0.960    -0.975
 0.3482    0.075     0.046    -0.962    -0.977
 0.3613    0.072     0.043    -0.964    -0.978
 0.3746    0.068     0.039    -0.965    -0.980
 0.3880    0.065     0.037    -0.967    -0.982
 0.4015    0.063     0.034    -0.968    -0.983
 0.4152    0.060     0.032    -0.969    -0.984
 0.4289    0.058     0.030    -0.970    -0.985
 0.4428    0.057     0.028    -0.971    -0.986
 0.4568    0.055     0.027    -0.972    -0.987
 0.4709    0.054     0.025    -0.973    -0.987
 0.4850    0.053     0.024    -0.973    -0.988
 0.4993    0.052     0.024    -0.974    -0.988
 0.5136    0.051     0.023    -0.974    -0.988
 0.5280    0.051     0.022    -0.974    -0.989
 0.5424    0.050     0.022    -0.974    -0.989
 0.5569    0.050     0.022    -0.974    -0.989
 0.5714    0.050     0.022    -0.974    -0.989
 0.5860    0.051     0.022    -0.974    -0.989
 0.6005    0.051     0.022    -0.974    -0.989
 0.6151    0.051     0.023    -0.974    -0.989
 0.6297    0.052     0.023    -0.974    -0.988
 0.6442    0.053     0.024    -0.973    -0.988
 0.6588    0.054     0.024    -0.973    -0.988
 0.6733    0.055     0.025    -0.972    -0.987
 0.6878    0.056     0.026    -0.972    -0.987
 0.7022    0.057     0.027    -0.971    -0.986
 0.7165    0.059     0.028    -0.970    -0.986
 0.7308    0.060     0.030    -0.969    -0.985
 0.7450    0.062     0.031    -0.969    -0.984
 0.7591    0.064     0.033    -0.968    -0.983
 0.7730    0.066     0.035    -0.966    -0.983
 0.7868    0.068     0.037    -0.965    -0.982
 0.8005    0.071     0.039    -0.964    -0.981
 0.8140    0.074     0.041    -0.962    -0.979
 0.8273    0.077     0.043    -0.961    -0.978
 0.8404    0.081     0.046    -0.959    -0.977
 0.8533    0.084     0.048    -0.957    -0.976
 0.8660    0.089     0.051    -0.955    -0.974
 0.8783    0.093     0.054    -0.952    -0.973
 0.8904    0.098     0.057    -0.950    -0.971
 0.9022    0.104     0.060    -0.947    -0.969
 0.9136    0.110     0.063    -0.943    -0.968
 0.9246    0.117     0.067    -0.939    -0.966
 0.9352    0.125     0.070    -0.935    -0.964
 0.9454    0.134     0.073    -0.930    -0.963
 0.9550    0.145     0.077    -0.925    -0.961
 0.9641    0.157     0.080    -0.918    -0.959
 0.9725    0.171     0.083    -0.910    -0.958
 0.9802    0.189     0.086    -0.901    -0.956
 0.9871    0.210     0.088    -0.889    -0.955
 0.9929    0.240     0.090    -0.872    -0.954
 0.9975    0.282     0.092    -0.847    -0.953
 1.0000    0.382     0.093    -0.786    -0.953


