xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   6.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.382     0.093     0.786     0.953
 0.9975    0.266     0.090     0.857     0.954
 0.9929    0.214     0.084     0.887     0.957
 0.9871    0.174     0.077     0.909     0.961
 0.9802    0.142     0.069     0.926     0.965
 0.9725    0.115     0.060     0.941     0.969
 0.9641    0.091     0.050     0.954     0.974
 0.9550    0.069     0.040     0.965     0.980
 0.9454    0.049     0.029     0.975     0.985
 0.9352    0.030     0.018     0.985     0.991
 0.9246    0.012     0.007     0.994     0.997
 0.9136   -0.004    -0.005     1.002     1.002
 0.9022   -0.020    -0.016     1.010     1.008
 0.8904   -0.036    -0.028     1.018     1.014
 0.8783   -0.050    -0.040     1.025     1.020
 0.8660   -0.065    -0.052     1.032     1.026
 0.8533   -0.079    -0.064     1.039     1.031
 0.8404   -0.093    -0.076     1.045     1.037
 0.8273   -0.106    -0.088     1.052     1.043
 0.8140   -0.119    -0.100     1.058     1.049
 0.8005   -0.132    -0.112     1.064     1.054
 0.7868   -0.145    -0.124     1.070     1.060
 0.7730   -0.158    -0.136     1.076     1.066
 0.7591   -0.171    -0.148     1.082     1.071
 0.7450   -0.184    -0.160     1.088     1.077
 0.7308   -0.197    -0.172     1.094     1.082
 0.7165   -0.209    -0.184     1.100     1.088
 0.7022   -0.222    -0.196     1.106     1.093
 0.6878   -0.235    -0.208     1.111     1.099
 0.6733   -0.248    -0.220     1.117     1.105
 0.6588   -0.261    -0.232     1.123     1.110
 0.6442   -0.274    -0.245     1.129     1.116
 0.6297   -0.288    -0.257     1.135     1.121
 0.6151   -0.301    -0.270     1.141     1.127
 0.6005   -0.315    -0.282     1.147     1.132
 0.5860   -0.329    -0.294     1.153     1.138
 0.5714   -0.343    -0.307     1.159     1.143
 0.5569   -0.357    -0.319     1.165     1.149
 0.5424   -0.371    -0.332     1.171     1.154
 0.5280   -0.386    -0.345     1.177     1.160
 0.5136   -0.401    -0.358     1.184     1.165
 0.4993   -0.416    -0.371     1.190     1.171
 0.4850   -0.432    -0.384     1.197     1.176
 0.4709   -0.448    -0.397     1.203     1.182
 0.4568   -0.464    -0.410     1.210     1.188
 0.4428   -0.480    -0.423     1.217     1.193
 0.4289   -0.497    -0.436     1.223     1.199
 0.4152   -0.514    -0.449     1.230     1.204
 0.4015   -0.531    -0.462     1.237     1.209
 0.3880   -0.549    -0.475     1.244     1.214
 0.3746   -0.567    -0.487     1.252     1.220
 0.3613   -0.585    -0.500     1.259     1.225
 0.3482   -0.604    -0.512     1.266     1.230
 0.3353   -0.623    -0.525     1.274     1.235
 0.3225   -0.643    -0.539     1.282     1.240
 0.3099   -0.663    -0.554     1.290     1.247
 0.2974   -0.683    -0.573     1.297     1.254
 0.2851   -0.705    -0.597     1.306     1.264
 0.2730   -0.726    -0.630     1.314     1.277
 0.2611   -0.749    -0.676     1.322     1.295
 0.2494   -0.771    -0.741     1.331     1.319
 0.2379   -0.795    -0.830     1.340     1.353
 0.2266   -0.819    -0.951     1.349     1.397
 0.2155   -0.844    -1.086     1.358     1.444
 0.2046   -0.870    -1.237     1.368     1.496
 0.1939   -0.897    -1.267     1.377     1.506
 0.1835   -0.925    -1.278     1.387     1.509
 0.1733   -0.954    -1.288     1.398     1.513
 0.1634   -0.984    -1.298     1.408     1.516
 0.1537   -1.015    -1.308     1.420     1.519
 0.1442   -1.048    -1.317     1.431     1.522
 0.1350   -1.083    -1.328     1.443     1.526
 0.1261   -1.119    -1.338     1.456     1.529
 0.1174   -1.158    -1.349     1.469     1.533
 0.1090   -1.198    -1.360     1.483     1.536
 0.1008   -1.242    -1.372     1.497     1.540
 0.0930   -1.288    -1.386     1.513     1.545
 0.0854   -1.337    -1.400     1.529     1.549
 0.0781   -1.390    -1.416     1.546     1.554
 0.0712   -1.448    -1.435     1.565     1.560
 0.0645   -1.510    -1.455     1.584     1.567
 0.0581   -1.577    -1.480     1.605     1.575
 0.0520   -1.651    -1.508     1.628     1.584
 0.0463   -1.732    -1.542     1.653     1.594
 0.0408   -1.821    -1.583     1.680     1.607
 0.0357   -1.920    -1.632     1.709     1.622
 0.0309   -2.029    -1.692     1.740     1.641
 0.0264   -2.150    -1.765     1.775     1.663
 0.0223   -2.284    -1.850     1.812     1.688
 0.0185   -2.432    -1.950     1.852     1.718
 0.0150   -2.594    -2.065     1.896     1.751
 0.0119   -2.768    -2.190     1.941     1.786
 0.0092   -2.949    -2.318     1.987     1.822
 0.0067   -3.125    -2.438     2.031     1.854
 0.0047   -3.270    -2.525     2.066     1.878
 0.0030   -3.341    -2.546     2.084     1.883
 0.0017   -3.275    -2.449     2.068     1.857
 0.0008   -2.998    -2.181     2.000     1.784
 0.0002   -2.467    -1.718     1.862     1.649
 0.0000   -1.734    -1.110     1.654     1.453
 0.0002   -0.957    -0.471     1.399     1.213
 0.0008   -0.251     0.093     1.118     0.952
 0.0017    0.294     0.517     0.840     0.695
