xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   7.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.384     0.086     0.785     0.956
 0.9975    0.267     0.083     0.856     0.958
 0.9929    0.215     0.078     0.886     0.960
 0.9871    0.174     0.072     0.909     0.963
 0.9802    0.141     0.064     0.927     0.967
 0.9725    0.113     0.056     0.942     0.971
 0.9641    0.089     0.047     0.955     0.976
 0.9550    0.066     0.038     0.966     0.981
 0.9454    0.045     0.028     0.977     0.986
 0.9352    0.026     0.017     0.987     0.991
 0.9246    0.007     0.007     0.996     0.997
 0.9136   -0.010    -0.005     1.005     1.002
 0.9022   -0.027    -0.016     1.013     1.008
 0.8904   -0.043    -0.027     1.021     1.014
 0.8783   -0.059    -0.039     1.029     1.019
 0.8660   -0.074    -0.051     1.036     1.025
 0.8533   -0.089    -0.063     1.043     1.031
 0.8404   -0.103    -0.075     1.050     1.037
 0.8273   -0.118    -0.087     1.057     1.043
 0.8140   -0.132    -0.100     1.064     1.049
 0.8005   -0.146    -0.112     1.070     1.055
 0.7868   -0.160    -0.125     1.077     1.060
 0.7730   -0.174    -0.137     1.083     1.066
 0.7591   -0.187    -0.150     1.090     1.072
 0.7450   -0.201    -0.162     1.096     1.078
 0.7308   -0.215    -0.175     1.102     1.084
 0.7165   -0.229    -0.188     1.108     1.090
 0.7022   -0.242    -0.201     1.115     1.096
 0.6878   -0.256    -0.214     1.121     1.102
 0.6733   -0.270    -0.227     1.127     1.108
 0.6588   -0.285    -0.240     1.133     1.114
 0.6442   -0.299    -0.253     1.140     1.120
 0.6297   -0.313    -0.267     1.146     1.125
 0.6151   -0.328    -0.280     1.152     1.131
 0.6005   -0.343    -0.294     1.159     1.138
 0.5860   -0.358    -0.308     1.165     1.144
 0.5714   -0.373    -0.322     1.172     1.150
 0.5569   -0.389    -0.336     1.179     1.156
 0.5424   -0.405    -0.350     1.185     1.162
 0.5280   -0.421    -0.364     1.192     1.168
 0.5136   -0.437    -0.379     1.199     1.174
 0.4993   -0.454    -0.394     1.206     1.181
 0.4850   -0.471    -0.409     1.213     1.187
 0.4709   -0.489    -0.424     1.220     1.193
 0.4568   -0.506    -0.439     1.227     1.200
 0.4428   -0.524    -0.455     1.235     1.206
 0.4289   -0.543    -0.470     1.242     1.213
 0.4152   -0.562    -0.486     1.250     1.219
 0.4015   -0.581    -0.503     1.257     1.226
 0.3880   -0.601    -0.519     1.265     1.232
 0.3746   -0.621    -0.536     1.273     1.239
 0.3613   -0.642    -0.553     1.281     1.246
 0.3482   -0.663    -0.571     1.289     1.253
 0.3353   -0.684    -0.589     1.298     1.261
 0.3225   -0.707    -0.607     1.306     1.268
 0.3099   -0.729    -0.626     1.315     1.275
 0.2974   -0.753    -0.647     1.324     1.283
 0.2851   -0.777    -0.669     1.333     1.292
 0.2730   -0.802    -0.693     1.342     1.301
 0.2611   -0.827    -0.721     1.352     1.312
 0.2494   -0.853    -0.753     1.361     1.324
 0.2379   -0.880    -0.792     1.371     1.339
 0.2266   -0.908    -0.840     1.381     1.356
 0.2155   -0.937    -0.899     1.392     1.378
 0.2046   -0.967    -0.973     1.403     1.405
 0.1939   -0.999    -1.068     1.414     1.438
 0.1835   -1.031    -1.189     1.425     1.480
 0.1733   -1.065    -1.318     1.437     1.522
 0.1634   -1.101    -1.462     1.449     1.569
 0.1537   -1.138    -1.638     1.462     1.624
 0.1442   -1.177    -1.694     1.475     1.641
 0.1350   -1.218    -1.704     1.489     1.644
 0.1261   -1.261    -1.713     1.504     1.647
 0.1174   -1.307    -1.723     1.519     1.650
 0.1090   -1.356    -1.732     1.535     1.653
 0.1008   -1.409    -1.741     1.552     1.656
 0.0930   -1.465    -1.751     1.570     1.658
 0.0854   -1.525    -1.760     1.589     1.661
 0.0781   -1.590    -1.771     1.609     1.665
 0.0712   -1.660    -1.782     1.631     1.668
 0.0645   -1.737    -1.794     1.654     1.672
 0.0581   -1.821    -1.807     1.680     1.676
 0.0520   -1.913    -1.823     1.707     1.680
 0.0463   -2.014    -1.841     1.736     1.685
 0.0408   -2.127    -1.862     1.768     1.692
 0.0357   -2.252    -1.888     1.803     1.699
 0.0309   -2.391    -1.921     1.841     1.709
 0.0264   -2.547    -1.963     1.883     1.721
 0.0223   -2.722    -2.019     1.929     1.738
 0.0185   -2.918    -2.095     1.979     1.759
 0.0150   -3.136    -2.194     2.034     1.787
