xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   7.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0119   -3.376    -2.321     2.092     1.822
 0.0092   -3.634    -2.475     2.153     1.864
 0.0067   -3.896    -2.645     2.213     1.909
 0.0047   -4.137    -2.803     2.266     1.950
 0.0030   -4.307    -2.902     2.304     1.975
 0.0017   -4.326    -2.882     2.308     1.970
 0.0008   -4.095    -2.671     2.257     1.916
 0.0002   -3.545    -2.229     2.132     1.797
 0.0000   -2.717    -1.597     1.928     1.611
 0.0002   -1.789    -0.895     1.670     1.376
 0.0008   -0.898    -0.240     1.378     1.113
 0.0017   -0.172     0.277     1.083     0.851
 0.0030    0.344     0.632     0.810     0.607
 0.0047    0.674     0.844     0.571     0.395
 0.0067    0.865     0.955     0.368     0.213
 0.0092    0.961     0.996     0.197     0.062
 0.0119    0.997     0.996     0.055    -0.065
 0.0150    0.996     0.970    -0.065    -0.173
 0.0185    0.973     0.931    -0.166    -0.262
 0.0223    0.937     0.884    -0.251    -0.340
 0.0264    0.894     0.836    -0.325    -0.406
 0.0309    0.849     0.786    -0.388    -0.463
 0.0357    0.803     0.738    -0.444    -0.512
 0.0408    0.758     0.691    -0.492    -0.556
 0.0463    0.714     0.647    -0.534    -0.594
 0.0520    0.672     0.605    -0.572    -0.628
 0.0581    0.633     0.566    -0.606    -0.659
 0.0645    0.595     0.529    -0.636    -0.686
 0.0712    0.560     0.495    -0.663    -0.711
 0.0781    0.527     0.462    -0.688    -0.733
 0.0854    0.495     0.432    -0.710    -0.753
 0.0930    0.466     0.404    -0.731    -0.772
 0.1008    0.439     0.378    -0.749    -0.789
 0.1090    0.413     0.353    -0.766    -0.804
 0.1174    0.389     0.330    -0.782    -0.818
 0.1261    0.366     0.309    -0.796    -0.831
 0.1350    0.345     0.289    -0.809    -0.843
 0.1442    0.325     0.270    -0.821    -0.854
 0.1537    0.307     0.253    -0.833    -0.865
 0.1634    0.289     0.236    -0.843    -0.874
 0.1733    0.273     0.221    -0.853    -0.883
 0.1835    0.258     0.207    -0.861    -0.891
 0.1939    0.244     0.193    -0.870    -0.898
 0.2046    0.231     0.181    -0.877    -0.905
 0.2155    0.218     0.169    -0.884    -0.912
 0.2266    0.207     0.158    -0.891    -0.918
 0.2379    0.196     0.148    -0.897    -0.923
 0.2494    0.186     0.139    -0.902    -0.928
 0.2611    0.176     0.130    -0.907    -0.933
 0.2730    0.168     0.122    -0.912    -0.937
 0.2851    0.160     0.114    -0.917    -0.941
 0.2974    0.152     0.107    -0.921    -0.945
 0.3099    0.145     0.101    -0.925    -0.948
 0.3225    0.139     0.095    -0.928    -0.952
 0.3353    0.133     0.089    -0.931    -0.954
 0.3482    0.127     0.084    -0.934    -0.957
 0.3613    0.122     0.079    -0.937    -0.960
 0.3746    0.118     0.075    -0.939    -0.962
 0.3880    0.113     0.071    -0.942    -0.964
 0.4015    0.110     0.067    -0.944    -0.966
 0.4152    0.106     0.064    -0.946    -0.968
 0.4289    0.103     0.061    -0.947    -0.969
 0.4428    0.100     0.058    -0.949    -0.971
 0.4568    0.097     0.055    -0.950    -0.972
 0.4709    0.095     0.053    -0.951    -0.973
 0.4850    0.093     0.051    -0.953    -0.974
 0.4993    0.091     0.049    -0.954    -0.975
 0.5136    0.089     0.047    -0.955    -0.976
 0.5280    0.087     0.046    -0.955    -0.977
 0.5424    0.086     0.045    -0.956    -0.977
 0.5569    0.085     0.043    -0.957    -0.978
 0.5714    0.084     0.042    -0.957    -0.979
 0.5860    0.083     0.042    -0.957    -0.979
 0.6005    0.083     0.041    -0.958    -0.979
 0.6151    0.082     0.040    -0.958    -0.980
 0.6297    0.082     0.040    -0.958    -0.980
 0.6442    0.082     0.039    -0.958    -0.980
 0.6588    0.082     0.039    -0.958    -0.980
 0.6733    0.082     0.039    -0.958    -0.980
 0.6878    0.082     0.039    -0.958    -0.980
 0.7022    0.083     0.039    -0.958    -0.980
 0.7165    0.083     0.039    -0.957    -0.980
 0.7308    0.084     0.040    -0.957    -0.980
 0.7450    0.085     0.040    -0.957    -0.980
 0.7591    0.086     0.041    -0.956    -0.979
 0.7730    0.088     0.042    -0.955    -0.979
 0.7868    0.089     0.043    -0.954    -0.978
 0.8005    0.091     0.044    -0.953    -0.978
 0.8140    0.093     0.045    -0.952    -0.977
 0.8273    0.095     0.046    -0.951    -0.977
 0.8404    0.098     0.048    -0.950    -0.976
 0.8533    0.101     0.049    -0.948    -0.975
 0.8660    0.104     0.051    -0.946    -0.974
 0.8783    0.108     0.053    -0.944    -0.973
 0.8904    0.113     0.055    -0.942    -0.972
 0.9022    0.118     0.058    -0.939    -0.971
 0.9136    0.123     0.060    -0.936    -0.969
 0.9246    0.129     0.063    -0.933    -0.968
 0.9352    0.137     0.065    -0.929    -0.967
 0.9454    0.145     0.068    -0.925    -0.965
 0.9550    0.154     0.071    -0.920    -0.964
 0.9641    0.166     0.074    -0.913    -0.962
 0.9725    0.179     0.077    -0.906    -0.961
 0.9802    0.196     0.079    -0.897    -0.960
 0.9871    0.217     0.082    -0.885    -0.958
 0.9929    0.245     0.084    -0.869    -0.957
 0.9975    0.286     0.085    -0.845    -0.956
 1.0000    0.384     0.086    -0.785    -0.956


