xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   2.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.376    -0.072     0.790     1.035
 0.9975    0.264    -0.072     0.858     1.036
 0.9929    0.215    -0.073     0.886     1.036
 0.9871    0.178    -0.073     0.907     1.036
 0.9802    0.149    -0.073     0.922     1.036
 0.9725    0.125    -0.074     0.935     1.036
 0.9641    0.104    -0.074     0.946     1.036
 0.9550    0.086    -0.074     0.956     1.036
 0.9454    0.069    -0.075     0.965     1.037
 0.9352    0.053    -0.075     0.973     1.037
 0.9246    0.039    -0.076     0.980     1.037
 0.9136    0.025    -0.076     0.987     1.037
 0.9022    0.013    -0.077     0.994     1.038
 0.8904    0.000    -0.078     1.000     1.038
 0.8783   -0.011    -0.078     1.006     1.038
 0.8660   -0.022    -0.079     1.011     1.039
 0.8533   -0.033    -0.080     1.016     1.039
 0.8404   -0.043    -0.081     1.021     1.040
 0.8273   -0.053    -0.082     1.026     1.040
 0.8140   -0.063    -0.083     1.031     1.041
 0.8005   -0.073    -0.084     1.036     1.041
 0.7868   -0.082    -0.086     1.040     1.042
 0.7730   -0.091    -0.087     1.045     1.043
 0.7591   -0.100    -0.088     1.049     1.043
 0.7450   -0.109    -0.090     1.053     1.044
 0.7308   -0.118    -0.092     1.058     1.045
 0.7165   -0.127    -0.094     1.062     1.046
 0.7022   -0.136    -0.097     1.066     1.047
 0.6878   -0.145    -0.099     1.070     1.048
 0.6733   -0.154    -0.102     1.074     1.050
 0.6588   -0.162    -0.105     1.078     1.051
 0.6442   -0.171    -0.108     1.082     1.053
 0.6297   -0.180    -0.112     1.086     1.055
 0.6151   -0.189    -0.116     1.090     1.057
 0.6005   -0.198    -0.121     1.094     1.059
 0.5860   -0.207    -0.126     1.099     1.061
 0.5714   -0.216    -0.131     1.103     1.064
 0.5569   -0.225    -0.137     1.107     1.066
 0.5424   -0.234    -0.143     1.111     1.069
 0.5280   -0.243    -0.150     1.115     1.072
 0.5136   -0.252    -0.157     1.119     1.076
 0.4993   -0.262    -0.164     1.123     1.079
 0.4850   -0.271    -0.172     1.128     1.083
 0.4709   -0.281    -0.181     1.132     1.087
 0.4568   -0.290    -0.190     1.136     1.091
 0.4428   -0.300    -0.199     1.140     1.095
 0.4289   -0.310    -0.208     1.144     1.099
 0.4152   -0.320    -0.218     1.149     1.104
 0.4015   -0.330    -0.228     1.153     1.108
 0.3880   -0.339    -0.238     1.157     1.112
 0.3746   -0.349    -0.248     1.162     1.117
 0.3613   -0.360    -0.258     1.166     1.122
 0.3482   -0.370    -0.268     1.170     1.126
 0.3353   -0.380    -0.278     1.175     1.131
 0.3225   -0.390    -0.288     1.179     1.135
 0.3099   -0.401    -0.298     1.183     1.139
 0.2974   -0.411    -0.308     1.188     1.144
 0.2851   -0.421    -0.318     1.192     1.148
 0.2730   -0.432    -0.328     1.197     1.152
 0.2611   -0.442    -0.338     1.201     1.157
 0.2494   -0.453    -0.348     1.205     1.161
 0.2379   -0.464    -0.357     1.210     1.165
 0.2266   -0.474    -0.367     1.214     1.169
 0.2155   -0.485    -0.376     1.219     1.173
 0.2046   -0.496    -0.385     1.223     1.177
 0.1939   -0.507    -0.394     1.227     1.181
 0.1835   -0.518    -0.403     1.232     1.185
 0.1733   -0.529    -0.412     1.236     1.188
 0.1634   -0.540    -0.421     1.241     1.192
 0.1537   -0.551    -0.430     1.245     1.196
 0.1442   -0.562    -0.438     1.250     1.199
 0.1350   -0.574    -0.447     1.255     1.203
 0.1261   -0.586    -0.455     1.259     1.206
 0.1174   -0.597    -0.463     1.264     1.210
 0.1090   -0.609    -0.471     1.269     1.213
 0.1008   -0.622    -0.479     1.273     1.216
 0.0930   -0.634    -0.486     1.278     1.219
 0.0854   -0.647    -0.493     1.283     1.222
 0.0781   -0.660    -0.500     1.289     1.225
 0.0712   -0.674    -0.507     1.294     1.228
 0.0645   -0.687    -0.513     1.299     1.230
 0.0581   -0.701    -0.518     1.304     1.232
 0.0520   -0.716    -0.523     1.310     1.234
 0.0463   -0.730    -0.527     1.315     1.236
 0.0408   -0.744    -0.529     1.321     1.236
 0.0357   -0.758    -0.529     1.326     1.236
 0.0309   -0.771    -0.526     1.331     1.235
 0.0264   -0.782    -0.520     1.335     1.233
 0.0223   -0.791    -0.509     1.338     1.228
 0.0185   -0.795    -0.490     1.340     1.221
