xflr5 v6.30
NACA 0010
Alpha =   3.0,  Re =    50000,  Ma= 0.0000,  ACrit= 9.0


Bottom Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.00302   2.22951   0.09258   0.00918  0.00024  0.00000   0.00032   0.00014   0.07170
 0.00470   2.26563   0.25221   0.02002  0.00149  0.00000   0.00039   0.00017   0.07258
 0.00675   2.24631   0.37845   0.02740  0.00302  0.00000   0.00044   0.00019   0.07211
 0.00915   2.28380   0.48285   0.02972  0.00429  0.00000   0.00049   0.00022   0.07301
 0.01191   2.28809   0.56620   0.03092  0.00525  0.00000   0.00056   0.00024   0.07311
 0.01502   2.30496   0.63488   0.03049  0.00588  0.00000   0.00062   0.00027   0.07351
 0.01847   2.31729   0.69123   0.02953  0.00626  0.00000   0.00069   0.00030   0.07380
 0.02227   2.32927   0.73812   0.02825  0.00646  0.00000   0.00076   0.00033   0.07407
 0.02641   2.34044   0.77750   0.02684  0.00652  0.00000   0.00084   0.00036   0.07433
 0.03088   2.35082   0.81087   0.02541  0.00650  0.00000   0.00091   0.00039   0.07456
 0.03568   2.36048   0.83941   0.02403  0.00642  0.00000   0.00099   0.00042   0.07478
 0.04080   2.36949   0.86400   0.02271  0.00629  0.00000   0.00107   0.00045   0.07498
 0.04625   2.37793   0.88535   0.02148  0.00614  0.00000   0.00115   0.00048   0.07516
 0.05201   2.38586   0.90400   0.02033  0.00598  0.00000   0.00123   0.00051   0.07534
 0.05809   2.39333   0.92039   0.01927  0.00581  0.00000   0.00131   0.00055   0.07550
 0.06447   2.40043   0.93485   0.01829  0.00564  0.00000   0.00139   0.00058   0.07565
 0.07116   2.40718   0.94768   0.01738  0.00547  0.00000   0.00147   0.00061   0.07580
 0.07814   2.41366   0.95909   0.01653  0.00530  0.00000   0.00156   0.00065   0.07594
 0.08542   2.41990   0.96928   0.01575  0.00513  0.00000   0.00164   0.00068   0.07607
 0.09299   2.42594   0.97839   0.01502  0.00497  0.00000   0.00173   0.00071   0.07620
 0.10084   2.43183   0.98655   0.01434  0.00481  0.00000   0.00181   0.00075   0.07632
 0.10897   2.43758   0.99388   0.01371  0.00466  0.00000   0.00190   0.00078   0.07644
 0.11738   2.44325   1.00045   0.01312  0.00451  0.00000   0.00199   0.00081   0.07656
 0.12605   2.44884   1.00635   0.01257  0.00437  0.00000   0.00207   0.00085   0.07668
 0.13499   2.45439   1.01165   0.01205  0.00424  0.00000   0.00216   0.00088   0.07680
 0.14420   2.45992   1.01640   0.01156  0.00411  0.00000   0.00225   0.00092   0.07691
 0.15365   2.46544   1.02065   0.01110  0.00398  0.00000   0.00234   0.00095   0.07702
 0.16336   2.47097   1.02444   0.01066  0.00386  0.00000   0.00243   0.00098   0.07714
